Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
DEBIT,2,4,160.0700073,347.980011,Advance shipping,0,45,Fishing,Jamaica,EE. UU.,XXXXXXXXX,Mary,4674,Lynn,XXXXXXXXX,Consumer,NY,7694 Velvet Turnabout,11434.0,7,Fan Shop,40.70170975,-73.80841827,USCA,Lorain,Estados Unidos,4674,7/7/2016 18:19,37936,1004,52.0,0.129999995,94697,399.980011,0.460000008,1,399.980011,347.980011,160.0700073,East of USA,Ohio,COMPLETE,44052.0,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,7/9/2016 18:19,Standard Class
TRANSFER,2,2,38.3199997,105.5699997,Shipping on time,0,29,Shop By Sport,Fresno,EE. UU.,XXXXXXXXX,Mary,1532,Bailey,XXXXXXXXX,Consumer,CA,2416 Lost Key,93720.0,5,Golf,36.73889542,-119.7879028,Europe,Marseille,Francia,1532,9/16/2015 23:06,17741,627,14.39999962,0.119999997,44334,39.99000168,0.360000014,3,119.9700012,105.5699997,38.3199997,Western Europe,Provenza-Alpes-Costa Azul,PROCESSING,,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,9/18/2015 23:06,Second Class
DEBIT,2,4,56.77000046,167.9600067,Advance shipping,0,29,Shop By Sport,Virginia Beach,EE. UU.,XXXXXXXXX,Hannah,6056,Flores,XXXXXXXXX,Consumer,VA,8187 Merry Pony Field,23464.0,5,Golf,36.80849838,-76.20897675,LATAM,Soyapango,El Salvador,6056,5/25/2015 22:55,9931,627,31.98999977,0.159999996,24807,39.99000168,0.340000004,5,199.9499969,167.9600067,56.77000046,Central America,San Salvador,COMPLETE,,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,5/27/2015 22:55,Standard Class
TRANSFER,2,4,51.97999954,148.5,Advance shipping,0,24,Women's Apparel,Caguas,Puerto Rico,XXXXXXXXX,Alice,2080,Smith,XXXXXXXXX,Consumer,PR,1682 Cozy Trail,725.0,5,Golf,18.22849083,-66.37055969,Europe,Montesson,Francia,2080,7/8/2015 23:12,12946,502,1.5,0.01,32366,50.0,0.349999994,3,150.0,148.5,51.97999954,Western Europe,Isla de Francia,PROCESSING,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,7/10/2015 23:12,Standard Class
PAYMENT,5,4,70.87000275,188.9900055,Late delivery,1,48,Water Sports,Montebello,EE. UU.,XXXXXXXXX,Mary,8898,Smith,XXXXXXXXX,Home Office,CA,3067 Hazy Autoroute,90640.0,7,Fan Shop,34.03588486,-118.0801849,Africa,Beira,Mozambique,8898,9/11/2016 15:25,42449,1073,11.0,0.059999999,105992,199.9900055,0.379999995,1,199.9900055,188.9900055,70.87000275,East Africa,Sofala,PENDING_PAYMENT,,1073,48,,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,Pelican Sunstream 100 Kayak,199.9900055,0,9/16/2016 15:25,Standard Class
CASH,5,4,53.5,109.1900024,Late delivery,1,18,Men's Footwear,Las Vegas,EE. UU.,XXXXXXXXX,Mary,12293,Smith,XXXXXXXXX,Consumer,NV,6764 Harvest View Point,89117.0,4,Apparel,36.06629562,-115.1725464,Europe,Nancy,Francia,12293,8/18/2017 20:43,65824,403,20.79999924,0.159999996,164511,129.9900055,0.49000001,1,129.9900055,109.1900024,53.5,Western Europe,Alsacia-Champaña-Ardenas-Lorena,CLOSED,,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,8/23/2017 20:43,Standard Class
TRANSFER,3,4,99.22000122,283.480011,Shipping canceled,0,43,Camping & Hiking,Lombard,EE. UU.,XXXXXXXXX,Jose,173,Smith,XXXXXXXXX,Consumer,IL,3493 High Apple Walk,60148.0,7,Fan Shop,34.06631851,-117.8853378,Europe,Helsingborg,Suecia,173,8/3/2017 1:39,64742,957,16.5,0.059999999,161827,299.980011,0.349999994,1,299.980011,283.480011,99.22000122,Northern Europe,Escania,SUSPECTED_FRAUD,,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,8/6/2017 1:39,Standard Class
CASH,6,2,39.59000015,179.9700012,Late delivery,1,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Mary,2723,Brady,XXXXXXXXX,Consumer,PR,7231 Grand Turnabout,725.0,4,Apparel,18.27003861,-66.37052918,Africa,Marrakech,Marruecos,2723,11/13/2016 17:15,46770,365,59.99000168,0.25,116944,59.99000168,0.219999999,4,239.9600067,179.9700012,39.59000015,North Africa,Marrakech-Tensift-Al Hauz,CLOSED,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,11/19/2016 17:15,Second Class
TRANSFER,6,4,-83.87999725,359.980011,Shipping canceled,0,45,Fishing,Caguas,Puerto Rico,XXXXXXXXX,Mary,3621,West,XXXXXXXXX,Consumer,PR,4922 Heather Gate Stead,725.0,7,Fan Shop,18.22356415,-66.37060547,Europe,Bonn,Alemania,3621,9/7/2015 11:02,17090,1004,40.0,0.100000001,42738,399.980011,-0.230000004,1,399.980011,359.980011,-83.87999725,Western Europe,Renania del Norte-Westfalia,CANCELED,,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,9/13/2015 11:02,Standard Class
TRANSFER,2,4,97.01999664,197.9900055,Advance shipping,0,48,Water Sports,Caguas,Puerto Rico,XXXXXXXXX,Nancy,9732,Jennings,XXXXXXXXX,Home Office,PR,7046 Cinder Lagoon Highway,725.0,7,Fan Shop,18.20813179,-66.37054443,Europe,Metz,Francia,9732,8/18/2017 3:54,65776,1073,2.0,0.01,164391,199.9900055,0.49000001,1,199.9900055,197.9900055,97.01999664,Western Europe,Alsacia-Champaña-Ardenas-Lorena,PROCESSING,,1073,48,,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,Pelican Sunstream 100 Kayak,199.9900055,0,8/20/2017 3:54,Standard Class
DEBIT,3,4,14.61999989,116.9899979,Advance shipping,0,18,Men's Footwear,Caguas,Puerto Rico,XXXXXXXXX,Mary,11482,Smith,XXXXXXXXX,Home Office,PR,2002 Amber Bear Moor,725.0,4,Apparel,18.25456429,-66.37059021,LATAM,San Martín,El Salvador,11482,4/11/2015 12:28,6887,403,13.0,0.100000001,17243,129.9900055,0.129999995,1,129.9900055,116.9899979,14.61999989,Central America,Cuscatlán,COMPLETE,,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,4/14/2015 12:28,Standard Class
PAYMENT,3,2,33.84999847,120.8899994,Late delivery,1,18,Men's Footwear,Newark,EE. UU.,XXXXXXXXX,Evelyn,2809,Bailey,XXXXXXXXX,Home Office,DE,1875 Golden Trail,19702.0,4,Apparel,39.68188095,-75.64421082,LATAM,San Pedro Sula,Honduras,2809,2/27/2017 3:27,53992,403,9.100000381,0.07,134995,129.9900055,0.280000001,1,129.9900055,120.8899994,33.84999847,Central America,Cortés,PENDING_PAYMENT,,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,3/2/2017 3:27,Second Class
TRANSFER,2,4,16.48999977,43.97999954,Advance shipping,0,46,Indoor/Outdoor Games,Sugar Land,EE. UU.,XXXXXXXXX,Hannah,9432,Smith,XXXXXXXXX,Corporate,TX,5579 Quiet Nectar Circuit,77479.0,7,Fan Shop,26.23747635,-98.09152985,Africa,Cairo,Egipto,9432,9/29/2016 15:02,43681,1014,6.0,0.119999997,109093,49.97999954,0.379999995,1,49.97999954,43.97999954,16.48999977,North Africa,El Cairo,PENDING,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,10/1/2016 15:02,Standard Class
TRANSFER,4,4,24.25,193.9900055,Shipping canceled,0,48,Water Sports,Caguas,Puerto Rico,XXXXXXXXX,Mary,2955,Williams,XXXXXXXXX,Consumer,PR,4417 High Pioneer Orchard,725.0,7,Fan Shop,18.29817009,-66.37050629,Europe,Berlín,Alemania,2955,8/8/2017 11:38,65113,1073,6.0,0.029999999,162725,199.9900055,0.129999995,1,199.9900055,193.9900055,24.25,Western Europe,Berlín,SUSPECTED_FRAUD,,1073,48,,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,Pelican Sunstream 100 Kayak,199.9900055,0,8/12/2017 11:38,Standard Class
DEBIT,6,4,-77.66999817,278.3900146,Late delivery,1,69,Health and Beauty,El Cajon,EE. UU.,XXXXXXXXX,Brianna,15678,Foster,XXXXXXXXX,Corporate,CA,4958 Heather Panda Bank,92021.0,12,Health and Beauty ,32.80217743,-116.9388351,Pacific Asia,Bhubaneswar,India,15678,11/18/2017 20:14,72125,1356,14.64999962,0.050000001,175440,293.0400085,-0.280000001,1,293.0400085,278.3900146,-77.66999817,South Asia,Odisha,COMPLETE,,1356,69,,http://images.acmesports.sports/First+aid+kit,First aid kit,293.0400085,0,11/24/2017 20:14,Standard Class
PAYMENT,3,4,-15.18000031,18.97999954,Advance shipping,0,35,Golf Gloves,Caguas,Puerto Rico,XXXXXXXXX,Barbara,9785,Barnes,XXXXXXXXX,Consumer,PR,5293 Emerald Concession,725.0,6,Outdoors,18.20022965,-66.37049866,LATAM,Morelia,México,9785,5/9/2015 16:38,8817,775,1.0,0.050000001,22016,9.989999771,-0.800000012,2,19.97999954,18.97999954,-15.18000031,Central America,Michoacán,PENDING_PAYMENT,,775,35,,http://images.acmesports.sports/Clicgear+8.0+Shoe+Brush,Clicgear 8.0 Shoe Brush,9.989999771,0,5/12/2015 16:38,Standard Class
TRANSFER,2,1,36.18999863,113.0899963,Late delivery,1,18,Men's Footwear,Highland,EE. UU.,XXXXXXXXX,Austin,1307,Elliott,XXXXXXXXX,Consumer,CA,1284 Burning Hickory Square,92346.0,4,Apparel,34.13591385,-117.2595673,Europe,Madrid,España,1307,9/21/2015 23:58,18086,403,16.89999962,0.129999995,45191,129.9900055,0.319999993,1,129.9900055,113.0899963,36.18999863,Southern Europe,Madrid,PROCESSING,,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,9/23/2015 23:58,First Class
DEBIT,3,4,42.5,339.980011,Advance shipping,0,45,Fishing,Tampa,EE. UU.,XXXXXXXXX,Crystal,6514,Contreras,XXXXXXXXX,Consumer,FL,4436 Tawny Private,33624.0,7,Fan Shop,28.10211754,-82.51211548,Europe,Muret,Francia,6514,6/24/2015 12:43,11957,1004,60.0,0.150000006,29884,399.980011,0.129999995,1,399.980011,339.980011,42.5,Western Europe,Languedoc-Rosellón-Mediodía-Pirineos,COMPLETE,,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,6/27/2015 12:43,Standard Class
DEBIT,5,4,-258.0,351.980011,Late delivery,1,45,Fishing,Caguas,Puerto Rico,XXXXXXXXX,Benjamin,2318,Smith,XXXXXXXXX,Corporate,PR,3240 Sleepy Beacon Bend,725.0,7,Fan Shop,18.2918663,-66.3705368,LATAM,Santo Domingo,República Dominicana,2318,6/3/2017 0:09,60559,1004,48.0,0.119999997,151575,399.980011,-0.730000019,1,399.980011,351.980011,-258.0,Caribbean,Santo Domingo,COMPLETE,,1004,45,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,6/8/2017 0:09,Standard Class
TRANSFER,4,4,4.909999847,43.47999954,Shipping on time,0,46,Indoor/Outdoor Games,Cleveland,EE. UU.,XXXXXXXXX,Charles,8746,Stout,XXXXXXXXX,Corporate,OH,72 Noble Path,44120.0,7,Fan Shop,41.48426819,-81.5922699,LATAM,Querétaro,México,8746,5/18/2017 12:26,59498,1014,6.5,0.129999995,148923,49.97999954,0.109999999,1,49.97999954,43.47999954,4.909999847,Central America,Querétaro,PROCESSING,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,5/22/2017 12:26,Standard Class
PAYMENT,3,4,47.04000092,168.0,Advance shipping,0,24,Women's Apparel,Mechanicsburg,EE. UU.,XXXXXXXXX,Mary,8995,Smith,XXXXXXXXX,Corporate,PA,8279 Bright Fox Highway,17055.0,5,Golf,40.21145248,-77.0072937,Pacific Asia,Canberra,Australia,8995,1/10/2016 1:55,25627,502,32.0,0.159999996,64195,50.0,0.280000001,4,200.0,168.0,47.04000092,Oceania,Territorio de la Capital Australiana,PENDING_PAYMENT,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,1/13/2016 1:55,Standard Class
PAYMENT,3,4,18.40999985,59.38999939,Advance shipping,0,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Amy,2753,Smith,XXXXXXXXX,Home Office,PR,9653 Stony Campus,725.0,4,Apparel,18.28672028,-66.37050629,Pacific Asia,Mildura,Australia,2753,10/28/2015 3:26,20562,365,0.600000024,0.01,51370,59.99000168,0.310000002,1,59.99000168,59.38999939,18.40999985,Oceania,Victoria,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,10/31/2015 3:26,Standard Class
PAYMENT,2,1,53.90999985,148.5,Late delivery,1,24,Women's Apparel,Caguas,Puerto Rico,XXXXXXXXX,Robert,2740,Williams,XXXXXXXXX,Corporate,PR,503 Clear Robin Beach,725.0,5,Golf,18.20379448,-66.3706131,USCA,New York City,Estados Unidos,2740,8/15/2016 18:05,40607,502,1.5,0.01,101304,50.0,0.360000014,3,150.0,148.5,53.90999985,East of USA,Nueva York,PENDING_PAYMENT,10024.0,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,8/17/2016 18:05,First Class
DEBIT,5,4,17.20999908,40.97999954,Late delivery,1,46,Indoor/Outdoor Games,Algonquin,EE. UU.,XXXXXXXXX,Mary,5406,Whitehead,XXXXXXXXX,Home Office,IL,3047 Foggy Forest Plaza,60102.0,7,Fan Shop,42.18404388,-88.25746918,Europe,Nantes,Francia,5406,9/7/2017 3:11,67144,1014,9.0,0.180000007,167833,49.97999954,0.419999987,1,49.97999954,40.97999954,17.20999908,Western Europe,Países del Loira,COMPLETE,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,9/12/2017 3:11,Standard Class
DEBIT,4,4,-4.869999886,97.48999786,Shipping on time,0,18,Men's Footwear,Caguas,Puerto Rico,XXXXXXXXX,Jacob,7901,Daniels,XXXXXXXXX,Consumer,PR,2704 Silent Pine Corner,725.0,4,Apparel,18.26533318,-66.37058258,Europe,Glasgow,Reino Unido,7901,10/17/2015 15:32,19843,403,32.5,0.25,49592,129.9900055,-0.050000001,1,129.9900055,97.48999786,-4.869999886,Northern Europe,Escocia,COMPLETE,,403,18,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,10/21/2015 15:32,Standard Class
TRANSFER,5,4,98.36000061,204.9199982,Late delivery,1,46,Indoor/Outdoor Games,Duluth,EE. UU.,XXXXXXXXX,Kathleen,8710,Hardy,XXXXXXXXX,Consumer,GA,49 Lazy Panda Landing,30096.0,7,Fan Shop,33.99794388,-84.16478729,LATAM,Senhor do Bonfim,Brasil,8710,2/19/2015 23:13,3424,1014,44.97999954,0.180000007,8506,49.97999954,0.479999989,5,249.8999939,204.9199982,98.36000061,South America,Bahía,PROCESSING,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,2/24/2015 23:13,Standard Class
DEBIT,2,1,64.77999878,143.9600067,Late delivery,1,29,Shop By Sport,Saint Charles,EE. UU.,XXXXXXXXX,Jack,7766,Smith,XXXXXXXXX,Consumer,MO,8063 Golden Street,63301.0,5,Golf,38.78551102,-90.48577881,USCA,Waterbury,Estados Unidos,7766,6/9/2016 13:06,36003,627,16.0,0.100000001,89900,39.99000168,0.449999988,4,159.9600067,143.9600067,64.77999878,East of USA,Connecticut,COMPLETE,6708.0,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,6/11/2016 13:06,First Class
TRANSFER,3,2,145.5200043,296.980011,Late delivery,1,43,Camping & Hiking,Tustin,EE. UU.,XXXXXXXXX,Eric,6137,Smith,XXXXXXXXX,Consumer,CA,5238 Amber Villas,92780.0,7,Fan Shop,36.81669235,-121.6491547,Europe,Stoke-on-Trent,Reino Unido,6137,8/22/2015 20:52,16022,957,3.0,0.01,40034,299.980011,0.49000001,1,299.980011,296.980011,145.5200043,Northern Europe,Inglaterra,PENDING,,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,8/25/2015 20:52,Second Class
DEBIT,6,4,11.89999962,191.9799957,Late delivery,1,9,Cardio Equipment,Caguas,Puerto Rico,XXXXXXXXX,Joseph,7580,Porter,XXXXXXXXX,Consumer,PR,1491 Merry Lake Grove,725.0,3,Footwear,18.24435425,-66.3706131,Europe,Granada,España,7580,7/28/2015 19:19,14305,191,8.0,0.039999999,35800,99.98999786,0.059999999,2,199.9799957,191.9799957,11.89999962,Southern Europe,Andalucía,ON_HOLD,,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,8/3/2015 19:19,Standard Class
DEBIT,4,4,30.51000023,269.980011,Shipping on time,0,43,Camping & Hiking,Caguas,Puerto Rico,XXXXXXXXX,Mary,11757,Boyle,XXXXXXXXX,Consumer,PR,2974 Honey Villas,725.0,7,Fan Shop,18.25797272,-66.37062073,LATAM,Chinautla,Guatemala,11757,4/14/2015 14:23,7098,957,30.0,0.100000001,17773,299.980011,0.109999999,1,299.980011,269.980011,30.51000023,Central America,Guatemala,COMPLETE,,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,4/18/2015 14:23,Standard Class
TRANSFER,4,2,60.72000122,193.9900055,Late delivery,1,48,Water Sports,Chapel Hill,EE. UU.,XXXXXXXXX,Virginia,1236,Robertson,XXXXXXXXX,Home Office,NC,5953 Honey Concession,27514.0,7,Fan Shop,35.94494247,-79.00052643,LATAM,Juárez,México,1236,3/24/2017 11:39,55728,1073,6.0,0.029999999,139378,199.9900055,0.310000002,1,199.9900055,193.9900055,60.72000122,Central America,Chihuahua,PROCESSING,,1073,48,,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,Pelican Sunstream 100 Kayak,199.9900055,0,3/28/2017 11:39,Second Class
